rid | sid |            tape             | pos
-----+-----+-----------------------------+-----
  0 |   0 | {0}                         |   1
  1 |   1 | {1}                         |   2
  2 |   0 | {1,2}                       |   1
  3 |   0 | {2,2}                       |   0
  4 |   1 | {1,2,2}                     |   1
  5 |   1 | {2,2,2}                     |   2
  6 |   0 | {2,0,2}                     |   3
  7 |   0 | {2,0,1}                     |   2
  8 |   1 | {2,1,1}                     |   3
  9 |   1 | {2,1,2}                     |   4
 10 |   0 | {2,1,2,2}                   |   3
 11 |   0 | {2,1,1,2}                   |   2
 12 |   0 | {2,2,1,2}                   |   1
 13 |   0 | {1,2,1,2}                   |   0
 14 |   1 | {1,1,2,1,2}                 |   1
 15 |   1 | {2,1,2,1,2}                 |   2
 16 |   1 | {2,2,2,1,2}                 |   3
 17 |   0 | {2,2,0,1,2}                 |   4
 18 |   0 | {2,2,0,2,2}                 |   3
 19 |   1 | {2,2,1,2,2}                 |   4
 20 |   0 | {2,2,1,0,2}                 |   5
 21 |   0 | {2,2,1,0,1}                 |   4
 22 |   1 | {2,2,1,1,1}                 |   5
 23 |   1 | {2,2,1,1,2}                 |   6
 24 |   0 | {2,2,1,1,2,2}               |   5
 25 |   0 | {2,2,1,1,1,2}               |   4
 26 |   0 | {2,2,1,2,1,2}               |   3
 27 |   0 | {2,2,2,2,1,2}               |   2
 28 |   0 | {2,1,2,2,1,2}               |   1
 29 |   0 | {1,1,2,2,1,2}               |   0
 30 |   1 | {1,1,1,2,2,1,2}             |   1
 31 |   1 | {2,1,1,2,2,1,2}             |   2
 32 |   1 | {2,2,1,2,2,1,2}             |   3
 33 |   1 | {2,2,2,2,2,1,2}             |   4
 34 |   0 | {2,2,2,0,2,1,2}             |   5
 35 |   0 | {2,2,2,0,1,1,2}             |   4
 36 |   1 | {2,2,2,1,1,1,2}             |   5
 37 |   1 | {2,2,2,1,2,1,2}             |   6
 38 |   1 | {2,2,2,1,2,2,2}             |   7
 39 |   0 | {2,2,2,1,2,2,0}             |   8
 40 |   1 | {2,2,2,1,2,2,0,1}           |   9
 41 |   0 | {2,2,2,1,2,2,0,1,2}         |   8
 42 |   0 | {2,2,2,1,2,2,0,2,2}         |   7
 43 |   1 | {2,2,2,1,2,2,1,2,2}         |   8
 44 |   0 | {2,2,2,1,2,2,1,0,2}         |   9
 45 |   0 | {2,2,2,1,2,2,1,0,1}         |   8
 46 |   1 | {2,2,2,1,2,2,1,1,1}         |   9
 47 |   1 | {2,2,2,1,2,2,1,1,2}         |  10
 48 |   0 | {2,2,2,1,2,2,1,1,2,2}       |   9
 49 |   0 | {2,2,2,1,2,2,1,1,1,2}       |   8
 50 |   0 | {2,2,2,1,2,2,1,2,1,2}       |   7
 51 |   0 | {2,2,2,1,2,2,2,2,1,2}       |   6
 52 |   0 | {2,2,2,1,2,1,2,2,1,2}       |   5
 53 |   0 | {2,2,2,1,1,1,2,2,1,2}       |   4
 54 |   0 | {2,2,2,2,1,1,2,2,1,2}       |   3
 55 |   0 | {2,2,1,2,1,1,2,2,1,2}       |   2
 56 |   0 | {2,1,1,2,1,1,2,2,1,2}       |   1
 57 |   0 | {1,1,1,2,1,1,2,2,1,2}       |   0
 58 |   1 | {1,1,1,1,2,1,1,2,2,1,2}     |   1
 59 |   1 | {2,1,1,1,2,1,1,2,2,1,2}     |   2
 60 |   1 | {2,2,1,1,2,1,1,2,2,1,2}     |   3
 61 |   1 | {2,2,2,1,2,1,1,2,2,1,2}     |   4
 62 |   1 | {2,2,2,2,2,1,1,2,2,1,2}     |   5
 63 |   0 | {2,2,2,2,0,1,1,2,2,1,2}     |   6
 64 |   0 | {2,2,2,2,0,2,1,2,2,1,2}     |   5
 65 |   1 | {2,2,2,2,1,2,1,2,2,1,2}     |   6
 66 |   0 | {2,2,2,2,1,0,1,2,2,1,2}     |   7
 67 |   0 | {2,2,2,2,1,0,2,2,2,1,2}     |   6
 68 |   1 | {2,2,2,2,1,1,2,2,2,1,2}     |   7
 69 |   0 | {2,2,2,2,1,1,0,2,2,1,2}     |   8
 70 |   0 | {2,2,2,2,1,1,0,1,2,1,2}     |   7
 71 |   1 | {2,2,2,2,1,1,1,1,2,1,2}     |   8
 72 |   1 | {2,2,2,2,1,1,1,2,2,1,2}     |   9
 73 |   0 | {2,2,2,2,1,1,1,2,0,1,2}     |  10
